batch_id,date,room_id,sequence_order,product_id,product_name,declared_allergens,carryover_allergens_active,sequence_status,requires_intermediate_cleaning,start_time,end_time,nightly_cleaning_ref
BAT-5028,2026-09-03,LINEA_ENVASADO_01,3,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,LECHE,HUEVO,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-03 14:40:00,2026-09-03 19:40:00,CLN-1009
BAT-5029,2026-09-03,LINEA_ENVASADO_02,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-03 06:00:00,2026-09-03 10:00:00,CLN-1010
BAT-5030,2026-09-03,LINEA_ENVASADO_02,2,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_SEQUENCE,False,2026-09-03 10:20:00,2026-09-03 13:20:00,CLN-1010
BAT-5031,2026-09-03,LINEA_ENVASADO_02,3,PROD_06,Galleta Rellena Huevo & Leche,"GLUTEN,LECHE,HUEVO","GLUTEN,LECHE,HUEVO,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-03 13:40:00,2026-09-03 17:40:00,CLN-1010
BAT-5032,2026-09-03,LINEA_ENVASADO_02,4,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,LECHE,HUEVO,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-03 18:00:00,2026-09-03 23:00:00,CLN-1010
BAT-5033,2026-09-03,LINEA_HORNO_01,1,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_START,False,2026-09-03 06:00:00,2026-09-03 10:00:00,CLN-1011
BAT-5034,2026-09-03,LINEA_HORNO_01,2,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-03 10:20:00,2026-09-03 13:20:00,CLN-1011
BAT-5035,2026-09-03,LINEA_HORNO_01,3,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,LECHE,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-03 13:40:00,2026-09-03 18:40:00,CLN-1011
BAT-5036,2026-09-03,LINEA_HORNO_01,4,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","GLUTEN,SÉSAMO,CACAHUETE,SOJA,AVELLANA,LECHE",INVALID_SEQUENCE_RISK,True,2026-09-03 19:00:00,2026-09-03 22:00:00,CLN-1011
BAT-5037,2026-09-03,LINEA_EMPAQUE_SECONDARY,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-03 06:00:00,2026-09-03 11:00:00,CLN-1012
BAT-5038,2026-09-03,LINEA_EMPAQUE_SECONDARY,2,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_SEQUENCE,False,2026-09-03 11:20:00,2026-09-03 15:20:00,CLN-1012
BAT-5039,2026-09-03,LINEA_EMPAQUE_SECONDARY,3,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,LECHE,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-03 15:40:00,2026-09-03 18:40:00,CLN-1012
BAT-5040,2026-09-04,LINEA_ENVASADO_01,1,PROD_06,Galleta Rellena Huevo & Leche,"GLUTEN,LECHE,HUEVO","HUEVO,GLUTEN,LECHE",VALID_START,False,2026-09-04 06:00:00,2026-09-04 10:00:00,CLN-1013
BAT-5041,2026-09-04,LINEA_ENVASADO_01,2,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,HUEVO,LECHE",INVALID_SEQUENCE_RISK,True,2026-09-04 10:20:00,2026-09-04 13:20:00,CLN-1013
BAT-5042,2026-09-04,LINEA_ENVASADO_01,3,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,HUEVO,LECHE",INVALID_SEQUENCE_RISK,True,2026-09-04 13:40:00,2026-09-04 16:40:00,CLN-1013
BAT-5043,2026-09-04,LINEA_ENVASADO_02,1,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_START,False,2026-09-04 06:00:00,2026-09-04 09:00:00,CLN-1014
BAT-5044,2026-09-04,LINEA_ENVASADO_02,2,PROD_06,Galleta Rellena Huevo & Leche,"GLUTEN,LECHE,HUEVO","GLUTEN,LECHE,HUEVO,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-04 09:20:00,2026-09-04 13:20:00,CLN-1014
BAT-5045,2026-09-04,LINEA_ENVASADO_02,3,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,LECHE,HUEVO,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-04 13:40:00,2026-09-04 17:40:00,CLN-1014
BAT-5046,2026-09-04,LINEA_HORNO_01,1,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,LECHE",VALID_START,False,2026-09-04 06:00:00,2026-09-04 11:00:00,CLN-1015
BAT-5047,2026-09-04,LINEA_HORNO_01,2,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,LECHE,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-04 11:20:00,2026-09-04 16:20:00,CLN-1015
BAT-5048,2026-09-04,LINEA_HORNO_01,3,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,LECHE,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-04 16:40:00,2026-09-04 21:40:00,CLN-1015
BAT-5049,2026-09-04,LINEA_EMPAQUE_SECONDARY,1,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_START,False,2026-09-04 06:00:00,2026-09-04 11:00:00,CLN-1016
BAT-5050,2026-09-04,LINEA_EMPAQUE_SECONDARY,2,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,LECHE,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-04 11:20:00,2026-09-04 15:20:00,CLN-1016
BAT-5051,2026-09-04,LINEA_EMPAQUE_SECONDARY,3,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,LECHE,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-04 15:40:00,2026-09-04 19:40:00,CLN-1016
BAT-5052,2026-09-05,LINEA_ENVASADO_01,1,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_START,False,2026-09-05 06:00:00,2026-09-05 10:00:00,CLN-1017
BAT-5053,2026-09-05,LINEA_ENVASADO_01,2,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-05 10:20:00,2026-09-05 14:20:00,CLN-1017
BAT-5054,2026-09-05,LINEA_ENVASADO_01,3,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,LECHE,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-05 14:40:00,2026-09-05 18:40:00,CLN-1017
BAT-5055,2026-09-05,LINEA_ENVASADO_01,4,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","GLUTEN,SÉSAMO,CACAHUETE,SOJA,AVELLANA,LECHE",INVALID_SEQUENCE_RISK,True,2026-09-05 19:00:00,2026-09-05 22:00:00,CLN-1017
BAT-5056,2026-09-05,LINEA_ENVASADO_02,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-05 06:00:00,2026-09-05 11:00:00,CLN-1018
BAT-5057,2026-09-05,LINEA_ENVASADO_02,2,PROD_06,Galleta Rellena Huevo & Leche,"GLUTEN,LECHE,HUEVO","HUEVO,GLUTEN,LECHE",VALID_SEQUENCE,False,2026-09-05 11:20:00,2026-09-05 15:20:00,CLN-1018
BAT-5058,2026-09-05,LINEA_ENVASADO_02,3,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,HUEVO,LECHE",INVALID_SEQUENCE_RISK,True,2026-09-05 15:40:00,2026-09-05 18:40:00,CLN-1018
BAT-5059,2026-09-05,LINEA_ENVASADO_02,4,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,HUEVO,LECHE",INVALID_SEQUENCE_RISK,True,2026-09-05 19:00:00,2026-09-05 23:00:00,CLN-1018
BAT-5060,2026-09-05,LINEA_HORNO_01,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-05 06:00:00,2026-09-05 09:00:00,CLN-1019
BAT-5061,2026-09-05,LINEA_HORNO_01,2,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_SEQUENCE,False,2026-09-05 09:20:00,2026-09-05 13:20:00,CLN-1019
BAT-5062,2026-09-05,LINEA_HORNO_01,3,PROD_06,Galleta Rellena Huevo & Leche,"GLUTEN,LECHE,HUEVO","GLUTEN,LECHE,HUEVO,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-05 13:40:00,2026-09-05 18:40:00,CLN-1019
BAT-5063,2026-09-05,LINEA_HORNO_01,4,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,LECHE,HUEVO,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-05 19:00:00,2026-09-06 00:00:00,CLN-1019
BAT-5064,2026-09-05,LINEA_EMPAQUE_SECONDARY,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-05 06:00:00,2026-09-05 10:00:00,CLN-1020
BAT-5065,2026-09-05,LINEA_EMPAQUE_SECONDARY,2,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_SEQUENCE,False,2026-09-05 10:20:00,2026-09-05 14:20:00,CLN-1020
BAT-5066,2026-09-05,LINEA_EMPAQUE_SECONDARY,3,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-05 14:40:00,2026-09-05 19:40:00,CLN-1020
BAT-5067,2026-09-05,LINEA_EMPAQUE_SECONDARY,4,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,LECHE,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-05 20:00:00,2026-09-05 23:00:00,CLN-1020
BAT-5068,2026-09-06,LINEA_ENVASADO_01,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-06 06:00:00,2026-09-06 09:00:00,CLN-1021
BAT-5069,2026-09-06,LINEA_ENVASADO_01,2,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,LECHE",VALID_SEQUENCE,False,2026-09-06 09:20:00,2026-09-06 14:20:00,CLN-1021
BAT-5070,2026-09-06,LINEA_ENVASADO_01,3,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,LECHE,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-06 14:40:00,2026-09-06 19:40:00,CLN-1021
BAT-5071,2026-09-06,LINEA_ENVASADO_02,1,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_START,False,2026-09-06 06:00:00,2026-09-06 10:00:00,CLN-1022
BAT-5072,2026-09-06,LINEA_ENVASADO_02,2,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,LECHE,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-06 10:20:00,2026-09-06 15:20:00,CLN-1022
BAT-5073,2026-09-06,LINEA_ENVASADO_02,3,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,LECHE,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-06 15:40:00,2026-09-06 18:40:00,CLN-1022
BAT-5074,2026-09-06,LINEA_ENVASADO_02,4,PROD_06,Galleta Rellena Huevo & Leche,"GLUTEN,LECHE,HUEVO","SOJA,GLUTEN,LECHE,HUEVO,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-06 19:00:00,2026-09-07 00:00:00,CLN-1022
BAT-5075,2026-09-06,LINEA_HORNO_01,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-06 06:00:00,2026-09-06 09:00:00,CLN-1023
BAT-5076,2026-09-06,LINEA_HORNO_01,2,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_SEQUENCE,False,2026-09-06 09:20:00,2026-09-06 12:20:00,CLN-1023
BAT-5077,2026-09-06,LINEA_HORNO_01,3,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,LECHE,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-06 12:40:00,2026-09-06 15:40:00,CLN-1023
BAT-5078,2026-09-06,LINEA_HORNO_01,4,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,LECHE,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-06 16:00:00,2026-09-06 20:00:00,CLN-1023
BAT-5079,2026-09-06,LINEA_EMPAQUE_SECONDARY,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-06 06:00:00,2026-09-06 11:00:00,CLN-1024
BAT-5080,2026-09-06,LINEA_EMPAQUE_SECONDARY,2,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_SEQUENCE,False,2026-09-06 11:20:00,2026-09-06 14:20:00,CLN-1024
BAT-5081,2026-09-06,LINEA_EMPAQUE_SECONDARY,3,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,LECHE,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-06 14:40:00,2026-09-06 18:40:00,CLN-1024
BAT-5082,2026-09-06,LINEA_EMPAQUE_SECONDARY,4,PROD_06,Galleta Rellena Huevo & Leche,"GLUTEN,LECHE,HUEVO","SOJA,GLUTEN,LECHE,HUEVO,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-06 19:00:00,2026-09-06 23:00:00,CLN-1024
BAT-5083,2026-09-07,LINEA_ENVASADO_01,1,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,LECHE",VALID_START,False,2026-09-07 06:00:00,2026-09-07 09:00:00,CLN-1025
BAT-5084,2026-09-07,LINEA_ENVASADO_01,2,PROD_06,Galleta Rellena Huevo & Leche,"GLUTEN,LECHE,HUEVO","SOJA,GLUTEN,HUEVO,LECHE",INVALID_SEQUENCE_RISK,True,2026-09-07 09:20:00,2026-09-07 12:20:00,CLN-1025
BAT-5085,2026-09-07,LINEA_ENVASADO_01,3,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,HUEVO,LECHE,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-07 12:40:00,2026-09-07 17:40:00,CLN-1025
BAT-5086,2026-09-07,LINEA_ENVASADO_01,4,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","GLUTEN,CACAHUETE,SOJA,AVELLANA,HUEVO,LECHE",INVALID_SEQUENCE_RISK,True,2026-09-07 18:00:00,2026-09-07 23:00:00,CLN-1025
BAT-5087,2026-09-07,LINEA_ENVASADO_02,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-07 06:00:00,2026-09-07 11:00:00,CLN-1026
BAT-5088,2026-09-07,LINEA_ENVASADO_02,2,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_SEQUENCE,False,2026-09-07 11:20:00,2026-09-07 14:20:00,CLN-1026
BAT-5089,2026-09-07,LINEA_ENVASADO_02,3,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-07 14:40:00,2026-09-07 17:40:00,CLN-1026
BAT-5090,2026-09-07,LINEA_ENVASADO_02,4,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,LECHE,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-07 18:00:00,2026-09-07 21:00:00,CLN-1026
BAT-5091,2026-09-07,LINEA_HORNO_01,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-07 06:00:00,2026-09-07 10:00:00,CLN-1027
BAT-5092,2026-09-07,LINEA_HORNO_01,2,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_SEQUENCE,False,2026-09-07 10:20:00,2026-09-07 15:20:00,CLN-1027
BAT-5093,2026-09-07,LINEA_HORNO_01,3,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-07 15:40:00,2026-09-07 18:40:00,CLN-1027
BAT-5094,2026-09-07,LINEA_HORNO_01,4,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,LECHE,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-07 19:00:00,2026-09-07 23:00:00,CLN-1027
BAT-5095,2026-09-07,LINEA_EMPAQUE_SECONDARY,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-07 06:00:00,2026-09-07 09:00:00,CLN-1028
BAT-5096,2026-09-07,LINEA_EMPAQUE_SECONDARY,2,PROD_06,Galleta Rellena Huevo & Leche,"GLUTEN,LECHE,HUEVO","HUEVO,GLUTEN,LECHE",VALID_SEQUENCE,False,2026-09-07 09:20:00,2026-09-07 13:20:00,CLN-1028
BAT-5097,2026-09-07,LINEA_EMPAQUE_SECONDARY,3,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,HUEVO,LECHE",INVALID_SEQUENCE_RISK,True,2026-09-07 13:40:00,2026-09-07 17:40:00,CLN-1028
BAT-5098,2026-09-07,LINEA_EMPAQUE_SECONDARY,4,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,HUEVO,LECHE",INVALID_SEQUENCE_RISK,True,2026-09-07 18:00:00,2026-09-07 23:00:00,CLN-1028
BAT-5099,2026-09-08,LINEA_ENVASADO_01,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-08 06:00:00,2026-09-08 10:00:00,CLN-1029
